Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1986,Hornby Island,St. John Point,,2,,6,Nests,49.518,-124.5863,,,Vermeer and Devito 1989
1956,Horseshoe Bay,Cliff 2 miles N,,1,,1,Pair,49.3993,-123.2512,,A. Muir,Drent and Guiguet 1961
1957,Horseshoe Bay,Cliff 2 miles N,,1,,1,Pair,49.3993,-123.2512,,A. Muir,Drent and Guiguet 1961
1974,Horseshoe Bay,,,1,,1,Pair,49.3993,-123.2512,,,Campbell 1976
1959,Hudson Rocks,,,4,,80,Pair. 75 pair with juveniles and 5 nests with eggs,49.2261,-123.9254,,Wm. Merilees,Drent and Guiguet 1961
1960,Hudson Rocks,,,4,,38,Nests,49.2261,-123.9254,,K Vermeer,B.C Nest Record Scheme
1968,Hudson Rocks,,,4,,79,Pair,49.2261,-123.9254,,R and J Drent,B.C. Nest Record Scheme
1974,Hudson Rocks,,,4,,248,Nests,49.2261,-123.9254,,,Moira Lemon
1977,Hudson Rocks,,,4,,259,Nests,49.2261,-123.9254,,,Moira Lemon
1978,Hudson Rocks,,,4,,236,Nests,49.2261,-123.9254,,,Moira Lemon
1980,Hudson Rocks,,,4,,226,Nests,49.2261,-123.9254,,,Moira Lemon
1981,Hudson Rocks,,,4,,308,Nests,49.2261,-123.9254,,,Moira Lemon
1986,Hudson Rocks,,,4,,247,Nests,49.2261,-123.9254,,,Vermeer and Devito 1989
1999,Hudson Rocks,,,4,,122,Nests,49.2261,-123.9254,,,"Moira Lemon, Sullivan et al. 2002"
2010,Hudson Rocks,,,4,,10,Nests,49.2261,-123.9254,,,
1905,Imrie Island,,,3,,0,Nesting sea birds,48.6944,-123.3332,,Dawson and Edson,Drent and Guiguet 1961
1935,Imrie Island,,,3,,150,Pair,48.6944,-123.3332,,JA Munro,B.C. Nest Record Scheme
1945,Imrie Island,North half of island,,3,,150,Adults,48.6944,-123.3332,,Meugens,Drent and Guiguet 1961
